drug_query,nct_id,brief_title,phase,enrollment,start_date,completion_date
semaglutide,NCT06648031,"Comparison of the Safety, Efficacy and Pharmacokinetics of DehydraTECH -CBD and DehydraTECH-GLP1 Agonists Alone or in Combination, in Overweight or Obese, Pre- and Type 2 Diabetic Participants",PHASE1,148,2024-12-04,2025-07-31
semaglutide,NCT03552757,Research Study Investigating How Well Semaglutide Works in People With Type 2 Diabetes Suffering From Overweight or Obesity,PHASE3,1210,2018-06-04,2020-05-01
semaglutide,NCT04102189,A Research Study on How Well Semaglutide Works in Adolescents With Overweight or Obesity,PHASE3,201,2019-10-07,2022-03-28
semaglutide,NCT06027567,"The Effect of an Anti-obesity Drug, Semaglutide, as Treatment in New-onset Idiopathic Intracranial Hypertension (IIH) Compared to Standard Weight Management (Dietician) With Regards to Change in Weight and Intracranial Pressure",PHASE4,38,2022-09-02,2025-10-28
semaglutide,NCT06874751,Semaglutide Effects on Cardiovascular Outcomes in People With Overweight or Obesity in the Real World,,45456,2024-12-06,2025-03-28
semaglutide,NCT05132088,Research Study to Investigate How Well Semaglutide Tablets Taken Once Daily Work in East Asian People Who Are Overweight or Living With Obesity,PHASE3,201,2021-11-16,2023-09-01
semaglutide,NCT04969939,A Research Study to Investigate How Well NNC0165-1875 in Combination With Semaglutide Works in People With Obesity,PHASE2,120,2021-07-15,2023-01-30
semaglutide,NCT06065540,"A Research Study to See How Well CagriSema Compared to Semaglutide, Cagrilintide and Placebo Lowers Blood Sugar and Body Weight in People With Type 2 Diabetes Treated With Metformin With or Without an SGLT2 Inhibitor",PHASE3,2734,2023-09-27,2026-01-06
semaglutide,NCT05822830,A Study of Tirzepatide (LY3298176) in Participants With Obesity or Overweight With Weight Related Comorbidities,PHASE3,751,2023-04-21,2024-11-13
semaglutide,NCT05537233,ADJUnct Semaglutide Treatment in Type 1 Diabetes,PHASE2,115,2023-04-11,2024-08-06
semaglutide,NCT06761703,A Study to Determine the Feasibility of Online Recruitment of People Using an Anti-Obesity Medication for Weight Loss,,200,2024-11-14,2025-01-06
semaglutide,NCT03292315,Once Weekly GLP-1 in Persons With Spinal Cord Injury,PHASE4,5,2018-10-16,2023-03-01
semaglutide,NCT06716307,A Research Study to Compare Blood Levels of Cagrilintide and Semaglutide After Single Doses of Different Versions of Injectable CagriSema in Adults With Overweight or Obesity,PHASE1,18,2024-12-02,2025-05-22
semaglutide,NCT06207877,"A Research Study to Look at How CagriSema Influences Food Intake, Appetite and Emptying of the Stomach in People With Excess Body Weight",PHASE1,62,2024-02-23,2024-11-22
semaglutide,NCT04940078,A Research Study to Compare Blood Levels of Cagrilintide and Semaglutide After Combined Versus Separate Injections in People With Overweight or Obesity,PHASE1,40,2021-07-07,2022-02-16
semaglutide,NCT06489457,The Effects of Semaglutide vs Testosterone Replacement Therapy on Functional Hypogonadism and Sperm Quality in Men With Type 2 Diabetes Mellitus and Obesity,PHASE3,25,2020-09-20,2023-06-30
semaglutide,NCT04788511,Research Study to Investigate How Well Semaglutide Works in People Living With Heart Failure and Obesity,PHASE3,529,2021-03-16,2023-04-18
semaglutide,NCT04889183,SeMaglutide and Albuminuria Reduction Trial in Obese Individuals Without Diabetes,PHASE3,125,2022-03-14,2024-05-28
semaglutide,NCT05390307,Obesity Treatment to Improve Diabetes,,60,2023-04-01,2024-01-01
semaglutide,NCT06131372,"A Research Study to See if Kidney Damage in People With Chronic Kidney Disease and Type 2 Diabetes Living With Overweight or Obesity Can be Reduced by CagriSema Compared to Semaglutide, Cagrilintide and Placebo",PHASE2,626,2024-04-01,2025-11-06
semaglutide,NCT06820047,Sleeve Gastrectomy vs. Lifestyle & Medications: Impact on BMI Trajectory and Target Attainment in a Matched Cohort Study,,190,2022-05-01,2024-07-01
semaglutide,NCT06771115,Phase 2a Placebo-Controlled Study of VTX3232 Alone or in Combination With Semaglutide in Obesity,PHASE2,176,2025-01-07,2025-09-10
semaglutide,NCT04972721,SELECT-LIFE: A Research Study Looking at Long-term Effects of Semaglutide in People Who Took Part in the SELECT Cardiovascular Outcomes Trial,,3439,2023-09-01,2025-08-25
semaglutide,NCT03707990,A Research Study of NNC0165-1875 Alone or Together With Semaglutide in People Who Are Overweight or Obese,PHASE1,88,2018-10-15,2019-08-13
semaglutide,NCT05786521,"Effect of GLP1 Receptor Agonists on Physical Function, Body Composition, and Markers of Aging in Older Adults",PHASE4,20,2023-04-01,2024-05-20
semaglutide,NCT02453711,Investigation of Safety and Efficacy of Once-daily Semaglutide in Obese Subjects Without Diabetes Mellitus,PHASE2,957,2015-10-01,2017-04-12
semaglutide,NCT07190144,Coronary Flow Reserve Changes After Semaglutide Treatment,,122,2025-01-07,2025-08-01
semaglutide,NCT04251156,Research Study of How Well Semaglutide Works in People Living With Overweight or Obesity.,PHASE3,375,2020-12-08,2022-08-23
semaglutide,NCT03611582,Research Study to Look at How Well Semaglutide is at Lowering Weight When Taken Together With an Intensive Lifestyle Program,PHASE3,611,2018-08-01,2020-04-28
semaglutide,NCT06323174,A Research Study to See How Much CagriSema Lowers Blood Sugar and Body Weight Compared to Placebo in People With Type 2 Diabetes Treated With Diet and Exercise,PHASE3,189,2024-03-19,2025-12-22
semaglutide,NCT03842202,A Research Study to Look at How Semaglutide Affects Gastric Emptying in People With Obesity,PHASE1,72,2019-02-15,2019-11-04
semaglutide,NCT05670379,"Assessment of Safety, Tolerability and Drug Levels of Exenatide Implant",PHASE1,24,2024-12-20,2025-08-21
semaglutide,NCT06914102,Emulation of the STEP-HFpEF DM Heart Failure Trial in Healthcare Claims Data,,58387,2025-01-14,2025-06-01
semaglutide,NCT03548987,Research Study Investigating How Well Semaglutide Works in People Suffering From Overweight or Obesity,PHASE3,902,2018-06-04,2020-03-20
semaglutide,NCT03574584,A Research Study of NNC0165-1562 and Semaglutide in People Who Are Overweight or Obese,PHASE1,37,2018-06-18,2019-07-27
semaglutide,NCT06390501,The Effect of Weekly Semaglutide Treatment on Energy Expenditure,,60,2024-04-01,2025-09-15
semaglutide,NCT06972992,"A Study to Evaluate Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of ASC47 in Combination With Semaglutide",PHASE1,28,2025-04-18,2025-09-22
semaglutide,NCT05564117,Research Study Looking at How Well Semaglutide Tablets Taken Once Daily Work in People Who Have a Body Weight Above the Healthy Range,PHASE3,307,2022-10-11,2024-05-07
semaglutide,NCT04779697,"GLP-1 Analogue Effects on Food Cues, Stress, Motivation for Highly Palatable Foods, and Weight",PHASE1,96,2021-02-01,2024-11-19
semaglutide,NCT05486065,A Research Study to Look Into How Well Semaglutide Medicine Works at Different Doses in People With Type 2 Diabetes and Overweight,PHASE2,245,2022-08-08,2023-12-13
semaglutide,NCT07043361,"Efficacy of Semaglutide in Glycemic Control, Weight Loss, and Improving Lipidogram- Role of Baseline Vitamin D Levels",,5300,2023-12-18,2025-04-30
semaglutide,NCT06533527,Holding vs. Continuing Incretin-based Therapies Before Upper Endoscopy,PHASE4,69,2024-07-31,2025-05-20
semaglutide,NCT04916470,"Research Study to Look at How Well Semaglutide Works in People Living With Heart Failure, Obesity and Type 2 Diabetes",PHASE3,617,2021-06-15,2023-10-11
semaglutide,NCT07368855,GLP-1 Medicines and Mental Health Changes,,90,2024-05-01,2025-07-01
semaglutide,NCT04238962,A Research Study to Compare Two Different Forms of Once-weekly Semaglutide in Two Different Injection Pens,PHASE1,111,2020-02-03,2020-10-20
semaglutide,NCT05895643,Does Semaglutide Reduce Alcohol Intake in Patients With Alcohol Use Disorder and Comorbid Obesity?,PHASE2,108,2023-06-13,2025-07-31
semaglutide,NCT04263415,"The Effects of Semaglutide on Taste, Tongue Tissue Transcriptome, Gastric Emptying and Central Neural Response in Women With PCOS and Obesity",PHASE4,30,2019-11-02,2021-10-31
semaglutide,NCT05616013,Safety and Efficacy of Bimagrumab and Semaglutide in Adults Who Are Overweight or Obese,PHASE2,507,2022-11-16,2025-06-14
semaglutide,NCT03811574,STEP 6: Research Study Investigating How Well Semaglutide Works in People Living With Overweight or Obesity,PHASE3,401,2019-01-21,2020-11-20
semaglutide,NCT05136287,"SEMAGLUTIDE VERSUS GLP-1 RECEPTOR AGONISTS. EFFECTIVENESS , SAFETY AND QUALITY OF LIFE IN PATIENTS WITH DIABETES MELLITUS 2. OBSERVATIONAL, PROSPECTIVE AND MULTICENTER STUDY. SEVERAL STUDY.",,140,2022-02-01,2024-01-01
semaglutide,NCT06215196,Effectiveness and Safety of Semaglutide Combined With Dietary Fiber (Soloways) in Adults With Overweight or Obesity,,81,2023-04-14,2023-08-20
semaglutide,NCT05078255,The Separate and Combined Effects of Long-term GIP and GLP-1 Receptor Activation in Patients with Type 2 Diabetes,,61,2022-01-27,2025-01-24
semaglutide,NCT04189848,Comparison of Injection Site Pain Experience for Semaglutide and Dulaglutide sc,PHASE4,104,2019-12-03,2020-02-27
semaglutide,NCT05813925,A Research Study to See How Well CagriSema Helps People in East Asia With Excess Body Weight Lose Weight,PHASE3,331,2023-04-03,2025-03-07
semaglutide,NCT06041217,A Research Study to See How Well Semaglutide Helps People Who Have a Body Weight Above the Healthy Weight Range,PHASE3,242,2023-09-15,2025-05-07
semaglutide,NCT03693430,Two-year Research Study Investigating How Well Semaglutide Works in People Suffering From Overweight or Obesity,PHASE3,304,2018-10-05,2021-03-23
semaglutide,NCT06604624,Semaglutide in Treatment of Obesity,PHASE3,462,2024-09-20,2025-09-24
semaglutide,NCT03548935,STEP 1: Research Study Investigating How Well Semaglutide Works in People Suffering From Overweight or Obesity,PHASE3,1961,2018-06-04,2021-03-05
semaglutide,NCT07216651,WeDosify Real World Evidence (RWE) Study: Personalized Semaglutide Dosing in U.S. Adults,,20,2025-09-23,2026-03-18
semaglutide,NCT04259801,"First Research Study to Look at How Two Medicines, NNC0480-0389 and Semaglutide, Work Together in Healthy People, in People With High Body Weight and in People With Diabetes",PHASE1,152,2020-02-17,2022-03-16
semaglutide,NCT07280403,Effect of a Low-carbohydrate Diet on Weight Loss in People Using the Injectable GLP-1 Agonist Semaglutide for Weight Loss,,60,2024-09-12,2025-11-30
semaglutide,NCT05649137,A Research Study to See How Semaglutide Helps People With Excess Weight and Type 2 Diabetes Lose Weight,PHASE3,512,2023-01-04,2024-12-13
semaglutide,NCT05996848,A Research Study to See How Well CagriSema Helps People in China With Excess Body Weight Lose Weight,PHASE3,300,2023-08-15,2025-02-22
semaglutide,NCT07096063,Comparative Effectiveness of Tirzepatide and Semaglutide in Individuals at Cardiovascular Risk,,887132,2024-10-01,2025-07-15
semaglutide,NCT06221696,Preventing Weight Regain Post-Semaglutide Treatment With Active Fiber Supplement (Soloways),,160,2023-06-12,2023-12-01
semaglutide,NCT06605703,A Randomized Controlled Trial Comparing the Effectiveness of Different Treatment Options for Weight Management After Discontinuation of Semaglutide and Tirzepatide (GLP1 Transition Trial),PHASE4,226,2024-09-18,2026-02-05
semaglutide,NCT05394519,A Research Study to See How Well CagriSema Helps People With Type 2 Diabetes and Excess Body Weight Lose Weight,PHASE3,1200,2023-02-01,2025-02-03
semaglutide,NCT03574597,Semaglutide Effects on Heart Disease and Stroke in Patients With Overweight or Obesity,PHASE3,17604,2018-10-24,2023-06-29
semaglutide,NCT05646706,"A Research Study to See How Semaglutide Helps People With Excess Weight, Lose Weight (STEP UP)",PHASE3,1407,2023-01-04,2024-11-26
semaglutide,NCT06500429,A Study to Evaluate the Safety and Efficacy of NG101 in Adult Participants Receiving a Glucagon-like Peptide-1 (GLP-1) Agonist,PHASE2,120,2024-06-24,2024-09-13
semaglutide,NCT05890976,Research Study Looking at How Well Semaglutide Tablets Taken Once Daily Work in Chinese Adults Who Are Above a Healthy Weight Range (OASIS 3),PHASE3,200,2023-05-30,2025-01-16
semaglutide,NCT06492330,Efficacy and Safety of CS0159 Combined With Semaglutide in MASH Patients With Obesity and T2DM,,62,2024-07-19,2025-04-22
semaglutide,NCT07281196,Semaglutide Effects on Sleep Apnea in Patients With Type 2 Diabetes/Obesity and Comorbid Obstructive Sleep Apnea,,15,2025-01-01,2026-01-31
semaglutide,NCT05040971,Research Study Looking at How Well Semaglutide Works in People Living With Obesity and Prediabetes,PHASE3,207,2021-09-06,2023-07-14
semaglutide,NCT03600480,A Research Study of How NNC0174-0833 Taken With Semaglutide Works in People Who Are Overweight or Obese,PHASE1,96,2018-07-25,2020-06-12
semaglutide,NCT05064735,Research Study Looking at How Well Semaglutide Works in People Suffering From Obesity and Knee Osteoarthritis,PHASE3,407,2021-10-01,2023-09-08
semaglutide,NCT06323161,A Research Study to See How Much CagriSema Lowers Blood Sugar and Body Weight Compared to Placebo in People With Type 2 Diabetes Treated With Once-daily Basal Insulin With or Without Metformin,PHASE3,274,2024-03-26,2025-10-23
semaglutide,NCT04228354,A Research Study Looking at the Comparability (Bioequivalence) of Two Versions of Semaglutide,PHASE1,28,2020-01-29,2020-06-01
semaglutide,NCT04187300,A Research Study Looking at the Comparability (Bioequivalence) of Two Forms of Semaglutide in Two Different Pen-injectors in People With Overweight or Obesity,PHASE1,68,2019-12-16,2020-09-23
semaglutide,NCT04007107,"A Study Comparing the Injection Site Pain Experience After the Injection of 2 Different Solutions of Semaglutide With 2 Different Injection Pens, a Compound for the Treatment of Type 2 Diabetes and Obesity",PHASE2,103,2019-06-27,2019-09-04
semaglutide,NCT04074161,Research Study to Investigate How Well Semaglutide Works Compared to Liraglutide in People Living With Overweight or Obesity,PHASE3,338,2019-09-11,2021-05-11
semaglutide,NCT06131437,A Research Study to See How Well CagriSema Compared to Tirzepatide Helps People With Obesity Lose Weight,PHASE3,809,2023-11-27,2026-01-09
semaglutide,NCT05548647,"Semaglutide Treatment, Appetite, and Eating Behavior: Long-term Effects",PHASE4,120,2022-07-26,2025-05-12
semaglutide,NCT06289504,A Study on How CagriSema Affects Levels of Atorvastatin and Warfarin in the Blood of Participants With Excess Body Weight,PHASE1,34,2024-02-27,2024-11-15
semaglutide,NCT06282458,Dose-Finding Study Evaluating Effect on Body Composition of Enobosarm in Patients Taking a GLP-1 for Chronic Weight Mgmt,PHASE2,168,2024-04-29,2025-08-22
semaglutide,NCT05579249,A Research Study Comparing Wegovy to Other Weight Management Drugs in People Living With Obesity in America,PHASE4,500,2023-01-19,2024-11-27
semaglutide,NCT05087342,Latino Semaglutide Study,PHASE3,119,2022-12-13,2024-05-29
semaglutide,NCT05897398,"SEMASEARCH, Retrospective/Prospective Cohort Nested at ATUc/AP2 WEGOVY®",,1100,2024-06-10,2025-06-10
semaglutide,NCT02079870,"Trial Investigating the Effect of Semaglutide on Energy Intake, Appetite Sensations, Postprandial Glucose and Triglyceride Metabolism and Gastric Emptying in Obese Subjects Compared With Placebo",PHASE1,30,2014-03-06,2015-01-07
semaglutide,NCT05035095,Research Study to Investigate How Well Semaglutide Tablets Taken Once Daily Work in People Who Are Overweight or Living With Obesity (OASIS 1),PHASE3,667,2021-09-13,2023-05-12
semaglutide,NCT03919929,Treating PCOS With Semaglutide vs Active Lifestyle Intervention,"PHASE2, PHASE3",60,2019-05-03,2023-10-03
semaglutide,NCT06804603,A Study to Measure the Effects of Using Tradipitant on Nausea and Vomiting After GLP-1R Agonist Use,PHASE2,124,2025-02-25,2025-10-06
semaglutide,NCT06267092,A Study of How CagriSema Works on Appetite in People With Excess Body Weight,PHASE1,164,2024-02-15,2025-12-08
semaglutide,NCT06640972,Effects of RDX-002 on Postprandial Triglycerides in Patients Discontinuing GLP-1 Agonists,PHASE2,68,2024-09-27,2025-05-13
semaglutide,NCT07141914,A Master Protocol for Semaglutide Effects on Cardiovascular and Obesity-related Outcomes in People With Overweight or Obesity in the Real World,,285327,2025-08-29,2025-12-19
semaglutide,NCT05302596,Semaglutide Use in Elderly Obese Patients,PHASE2,16,2022-09-01,2024-10-30
semaglutide,NCT04143945,"A Study Comparing the Injection Site Pain Experience After the Injection of Semaglutide B and Semaglutide D With 2 Different Injection Pens, a Compound for the Treatment of Type 2 Diabetes and Obesity",PHASE2,104,2019-10-28,2020-01-04
semaglutide,NCT05751226,A Study in People With Overweight or Obesity to Test How Well Different Doses of BI 1820237 Are Tolerated When Given Alone or in Combination With Either Semaglutide or BI 456906,PHASE1,88,2023-04-11,2024-08-01
semaglutide,NCT04998136,Research Study Investigating How Well Semaglutide Works in People From Thailand and South Korea Living With Obesity,PHASE3,150,2022-08-15,2023-11-20
semaglutide,NCT05514535,"A Research Study to Look Into How Semaglutide, Together With a Lower Dose of Insulin Glargine, Compares to a Higher Dose of Insulin Glargine Alone in People With Type 2 Diabetes (SUSTAIN OPTIMIZE)",PHASE3,568,2022-08-29,2025-04-09
semaglutide,NCT06221969,A Research Study to See How Much CagriSema Lowers Blood Sugar and Body Weight Compared to Tirzepatide in People With Type 2 Diabetes Treated With Metformin With or Without an SGLT2 Inhibitor,PHASE3,1024,2024-01-16,2026-04-06
semaglutide,NCT05236517,A Research Study Looking at How 50 mg Semaglutide Daily Affects Food Intake and Emptying of the Stomach in People With Obesity,PHASE1,60,2022-02-08,2022-11-07
tirzepatide,NCT04311411,A Study of Tirzepatide in Overweight and Very Overweight Participants,PHASE1,114,2020-08-24,2022-12-16
tirzepatide,NCT05024032,A Study of Tirzepatide (LY3298176) in Chinese Participants Without Type 2 Diabetes Who Have Obesity or Overweight (SURMOUNT-CN),PHASE3,210,2021-09-01,2022-12-27
tirzepatide,NCT04184622,A Study of Tirzepatide (LY3298176) in Participants With Obesity or Overweight,PHASE3,2539,2019-12-04,2024-07-06
tirzepatide,NCT04093752,A Study of Tirzepatide (LY3298176) in Participants With Type 2 Diabetes on Metformin With or Without Sulfonylurea (SURPASS-AP-Combo),PHASE3,917,2019-12-09,2021-11-24
tirzepatide,NCT05582096,A Study of LY3457263 in Obese Participants,PHASE1,38,2022-11-11,2023-06-08
